ID,TIME,popPred_medianCOV,popPred,indivPred_mean,indivPred_mode
1,31.1380272906626,3.1365,3.1365,3.69039,3.90224
1,31.2785895396787,3.11704,3.11704,3.67497,3.88654
1,31.4191517886948,3.09759,3.09759,3.65954,3.87083
1,31.5597140377108,3.07814,3.07814,3.64411,3.85513
1,31.7002762867269,3.05869,3.05869,3.62869,3.83942
1,31.840838535743,3.03923,3.03923,3.61326,3.82372
1,31.981400784759,3.01978,3.01978,3.59784,3.80802
1,32.0212766,3.01427,3.01427,3.59346,3.80356
1,32.1219630337751,3.00034,3.00034,3.58241,3.79231
1,32.2625252827912,2.98089,2.98089,3.56698,3.77661
1,32.4030875318072,2.96144,2.96144,3.55156,3.7609
1,32.5436497808233,2.94199,2.94199,3.53613,3.7452
1,32.6842120298394,2.92255,2.92255,3.52071,3.72949
1,32.8247742788554,2.9031,2.9031,3.50528,3.71379
1,32.9653365278715,2.88366,2.88366,3.48986,3.69809
1,33.1058987768875,2.86422,2.86422,3.47443,3.68238
1,33.2464610259036,2.84478,2.84478,3.45901,3.66668
1,33.3870232749197,2.82534,2.82534,3.44359,3.65098
1,33.5275855239357,2.8059,2.8059,3.42816,3.63527
1,33.6681477729518,2.78646,2.78646,3.41274,3.61957
1,33.8087100219679,2.76703,2.76703,3.39731,3.60387
1,33.9492722709839,2.74759,2.74759,3.38189,3.58816
1,34.0070922,2.7396,2.7396,3.37555,3.5817
1,34.08983452,2.72816,2.72816,3.36647,3.57246
2,0,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000014,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000027,7.44401,7.44401,5.92218,5.93025
2,0.000000000000005,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000069,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000094,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000128,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000175,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000239,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000326,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000446,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000609,7.44401,7.44401,5.92218,5.93025
2,0.0000000000000832,7.44401,7.44401,5.92218,5.93025
2,0.0000000000001137,7.44401,7.44401,5.92218,5.93025
2,0.0000000000001553,7.44401,7.44401,5.92218,5.93025
2,0.0000000000002121,7.44401,7.44401,5.92218,5.93025
2,0.0000000000002897,7.44401,7.44401,5.92218,5.93025
2,0.0000000000003958,7.44401,7.44401,5.92218,5.93025
2,0.0000000000005406,7.44401,7.44401,5.92218,5.93025
2,0.0000000000007385,7.44401,7.44401,5.92218,5.93025
2,0.0000000000010088,7.44401,7.44401,5.92218,5.93025
2,0.0000000000013781,7.44401,7.44401,5.92218,5.93025
2,0.0000000000018825,7.44401,7.44401,5.92218,5.93025
2,0.0000000000025716,7.44401,7.44401,5.92218,5.93025
2,0.0000000000035128,7.44401,7.44401,5.92218,5.93025
2,0.0000000000047986,7.44401,7.44401,5.92218,5.93025
2,0.000000000006555,7.44401,7.44401,5.92218,5.93025
2,0.0000000000089543,7.44401,7.44401,5.92218,5.93025
2,0.0000000000122317,7.44401,7.44401,5.92218,5.93025
2,0.0000000000167088,7.44401,7.44401,5.92218,5.93025
2,0.0000000000228247,7.44401,7.44401,5.92218,5.93025
2,0.0000000000311791,7.44401,7.44401,5.92218,5.93025
2,0.0000000000425914,7.44401,7.44401,5.92218,5.93025
2,0.0000000000581809,7.44401,7.44401,5.92218,5.93025
2,0.0000000000794766,7.44401,7.44401,5.92218,5.93025
2,0.0000000001085669,7.44401,7.44401,5.92218,5.93025
2,0.0000000001483051,7.44401,7.44401,5.92218,5.93025
2,0.0000000002025884,7.44401,7.44401,5.92218,5.93025
2,0.0000000002767407,7.44401,7.44401,5.92218,5.93025
2,0.0000000003780346,7.44401,7.44401,5.92218,5.93025
2,0.0000000005164045,7.44401,7.44401,5.92218,5.93025
2,0.0000000007054213,7.44401,7.44401,5.92218,5.93025
2,0.0000000009636228,7.44401,7.44401,5.92218,5.93025
2,0.0000000013163324,7.44401,7.44401,5.92218,5.93025
2,0.0000000017981424,7.44401,7.44401,5.92218,5.93025
2,0.0000000024563067,7.44401,7.44401,5.92218,5.93025
2,0.0000000033553752,7.44401,7.44401,5.92218,5.93025
2,0.000000004583525,7.44401,7.44401,5.92218,5.93025
2,0.0000000062612077,7.44401,7.44401,5.92218,5.93025
2,0.0000000085529635,7.44401,7.44401,5.92218,5.93025
2,0.0000000116835582,7.44401,7.44401,5.92218,5.93025
2,0.0000000159600274,7.44401,7.44401,5.92218,5.93025
2,0.0000000218017893,7.44401,7.44401,5.92218,5.93025
2,0.0000000297817796,7.44401,7.44401,5.92218,5.93025
2,0.0000000406826423,7.44401,7.44401,5.92218,5.93025
2,0.0000000555734885,7.44401,7.44401,5.92218,5.93025
2,0.0000000759147501,7.44401,7.44401,5.92218,5.93025
2,0.0000001037014129,7.44401,7.44401,5.92218,5.93025
2,0.0000001416586768,7.44401,7.44401,5.92218,5.93025
2,0.0000001935092313,7.44401,7.44401,5.92218,5.93025
2,0.0000002643383621,7.44401,7.44401,5.92218,5.93025
2,0.0000003610926943,7.44401,7.44401,5.92218,5.93025
